2025-05-11 20:33:30.874!utc | INFO | Using uvloop for enhanced async performance
2025-05-11 20:33:30.905!utc | INFO | LLMService → provider=azure
2025-05-11 20:33:30.905!utc | INFO | LLMSQLGenerator initialized
2025-05-11 20:33:31.076!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-11 20:33:31.076!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-11 20:33:31.077!utc | INFO | Private key passphrase provided: True
2025-05-11 20:33:31.077!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-11 20:33:31.077!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-11 20:33:31.077!utc | INFO | LLMService → provider=azure
2025-05-11 20:33:31.078!utc | INFO | LLMSQLGenerator initialized
2025-05-11 20:33:31.078!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-11 20:33:31.078!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-11 20:33:31.078!utc | INFO | Private key passphrase provided: True
2025-05-11 20:33:31.078!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-11 20:33:31.078!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-11 20:33:31.079!utc | INFO | SnowflakeCortexService initialized
2025-05-11 20:33:31.079!utc | INFO | LLMService → provider=azure
2025-05-11 20:33:31.079!utc | INFO | LLMService → provider=azure
2025-05-11 20:33:31.079!utc | INFO | LLMSQLGenerator initialized
2025-05-11 20:33:31.079!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-11 20:33:31.079!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-11 20:33:31.079!utc | INFO | Private key passphrase provided: True
2025-05-11 20:33:31.080!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-11 20:33:31.080!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-11 20:33:31.080!utc | INFO | SnowflakeCortexService initialized
2025-05-11 20:33:31.080!utc | INFO | LeaseAgentService initialized with prompt-template approach
2025-05-11 20:33:31.159!utc | INFO | Starting Lease Administration Agent API
2025-05-11 20:33:31.160!utc | INFO | Using LLM provider: azure
2025-05-11 20:33:31.160!utc | INFO | Initializing Redis client
2025-05-11 20:33:31.160!utc | INFO | Selected Database Backend: redis
2025-05-11 20:33:31.160!utc | INFO | Attempting Redis connection (Attempt 1):
2025-05-11 20:33:31.160!utc | INFO |   Host: localhost
2025-05-11 20:33:31.160!utc | INFO |   Port: 6379
2025-05-11 20:33:31.161!utc | INFO |   DB: 0
2025-05-11 20:33:31.161!utc | INFO |   Password: Provided
2025-05-11 20:33:31.195!utc | INFO | ✅ Redis connection successful
2025-05-11 20:33:31.196!utc | INFO | Redis Server Version: 7.2.7
2025-05-11 20:33:31.196!utc | INFO | Connected to Database: 0
2025-05-11 20:33:31.196!utc | INFO | Redis client initialized successfully
2025-05-11 20:33:31.196!utc | INFO | Redis client initialized successfully
2025-05-11 20:33:31.196!utc | INFO | Initializing Redis models
2025-05-11 20:33:31.196!utc | INFO | Using provided Redis client for models
2025-05-11 20:33:31.196!utc | INFO | Redis models initialized successfully
2025-05-12 09:16:39.927!utc | INFO | Shutting down Lease Administration Agent API
2025-05-12 09:16:39.927!utc | ERROR | Error closing LLM service connections: 'LLMService' object has no attribute 'close'
2025-05-22 11:49:38.167!utc | INFO | Using uvloop for enhanced async performance
2025-05-22 11:49:38.253!utc | INFO | LLMService → provider=azure
2025-05-22 11:49:38.254!utc | INFO | LLMSQLGenerator initialized
2025-05-22 11:49:38.576!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-22 11:49:38.577!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-22 11:49:38.577!utc | INFO | Private key passphrase provided: True
2025-05-22 11:49:38.577!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-22 11:49:38.577!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-22 11:49:38.578!utc | INFO | LLMService → provider=azure
2025-05-22 11:49:38.578!utc | INFO | LLMSQLGenerator initialized
2025-05-22 11:49:38.578!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-22 11:49:38.578!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-22 11:49:38.578!utc | INFO | Private key passphrase provided: True
2025-05-22 11:49:38.578!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-22 11:49:38.579!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-22 11:49:38.579!utc | INFO | SnowflakeCortexService initialized
2025-05-22 11:49:38.579!utc | INFO | LLMService → provider=azure
2025-05-22 11:49:38.579!utc | INFO | LLMService → provider=azure
2025-05-22 11:49:38.579!utc | INFO | LLMSQLGenerator initialized
2025-05-22 11:49:38.579!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-22 11:49:38.580!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-22 11:49:38.580!utc | INFO | Private key passphrase provided: True
2025-05-22 11:49:38.580!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-22 11:49:38.580!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-22 11:49:38.580!utc | INFO | SnowflakeCortexService initialized
2025-05-22 11:49:38.580!utc | INFO | LeaseAgentService initialized with prompt-template approach
2025-05-22 11:49:38.951!utc | INFO | Starting Lease Administration Agent API
2025-05-22 11:49:38.951!utc | INFO | Using LLM provider: azure
2025-05-22 11:49:38.952!utc | INFO | Initializing Redis client
2025-05-22 11:49:38.952!utc | INFO | Selected Database Backend: redis
2025-05-22 11:49:38.952!utc | INFO | Attempting Redis connection (Attempt 1):
2025-05-22 11:49:38.952!utc | INFO |   Host: localhost
2025-05-22 11:49:38.952!utc | INFO |   Port: 6379
2025-05-22 11:49:38.952!utc | INFO |   DB: 0
2025-05-22 11:49:38.952!utc | INFO |   Password: Provided
2025-05-22 11:49:38.956!utc | INFO | ✅ Redis connection successful
2025-05-22 11:49:38.957!utc | INFO | Redis Server Version: 8.0.0
2025-05-22 11:49:38.957!utc | INFO | Connected to Database: 0
2025-05-22 11:49:38.957!utc | INFO | Redis client initialized successfully
2025-05-22 11:49:38.957!utc | INFO | Redis client initialized successfully
2025-05-22 11:49:38.957!utc | INFO | Initializing Redis models
2025-05-22 11:49:38.958!utc | INFO | Using provided Redis client for models
2025-05-22 11:49:38.958!utc | INFO | Redis models initialized successfully
2025-05-22 11:51:39.967!utc | INFO | Using uvloop for enhanced async performance
2025-05-22 11:51:39.982!utc | INFO | LLMService → provider=azure
2025-05-22 11:51:39.982!utc | INFO | LLMSQLGenerator initialized
2025-05-22 11:51:40.061!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-22 11:51:40.062!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-22 11:51:40.062!utc | INFO | Private key passphrase provided: True
2025-05-22 11:51:40.062!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-22 11:51:40.062!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-22 11:51:40.062!utc | INFO | LLMService → provider=azure
2025-05-22 11:51:40.063!utc | INFO | LLMSQLGenerator initialized
2025-05-22 11:51:40.063!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-22 11:51:40.063!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-22 11:51:40.063!utc | INFO | Private key passphrase provided: True
2025-05-22 11:51:40.063!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-22 11:51:40.063!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-22 11:51:40.064!utc | INFO | SnowflakeCortexService initialized
2025-05-22 11:51:40.064!utc | INFO | LLMService → provider=azure
2025-05-22 11:51:40.064!utc | INFO | LLMService → provider=azure
2025-05-22 11:51:40.064!utc | INFO | LLMSQLGenerator initialized
2025-05-22 11:51:40.064!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-22 11:51:40.065!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-22 11:51:40.065!utc | INFO | Private key passphrase provided: True
2025-05-22 11:51:40.065!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-22 11:51:40.065!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-22 11:51:40.065!utc | INFO | SnowflakeCortexService initialized
2025-05-22 11:51:40.065!utc | INFO | LeaseAgentService initialized with prompt-template approach
2025-05-22 11:51:40.103!utc | INFO | Starting Lease Administration Agent API
2025-05-22 11:51:40.103!utc | INFO | Using LLM provider: azure
2025-05-22 11:51:40.103!utc | INFO | Initializing Redis client
2025-05-22 11:51:40.103!utc | INFO | Selected Database Backend: redis
2025-05-22 11:51:40.103!utc | INFO | Attempting Redis connection (Attempt 1):
2025-05-22 11:51:40.103!utc | INFO |   Host: localhost
2025-05-22 11:51:40.104!utc | INFO |   Port: 6379
2025-05-22 11:51:40.104!utc | INFO |   DB: 0
2025-05-22 11:51:40.104!utc | INFO |   Password: Provided
2025-05-22 11:51:40.107!utc | INFO | ✅ Redis connection successful
2025-05-22 11:51:40.107!utc | INFO | Redis Server Version: 8.0.0
2025-05-22 11:51:40.107!utc | INFO | Connected to Database: 0
2025-05-22 11:51:40.107!utc | INFO | Redis client initialized successfully
2025-05-22 11:51:40.107!utc | INFO | Redis client initialized successfully
2025-05-22 11:51:40.107!utc | INFO | Initializing Redis models
2025-05-22 11:51:40.108!utc | INFO | Using provided Redis client for models
2025-05-22 11:51:40.108!utc | INFO | Redis models initialized successfully
2025-05-22 11:54:12.851!utc | INFO | Shutting down Lease Administration Agent API
2025-05-22 11:54:14.870!utc | INFO | Using uvloop for enhanced async performance
2025-05-22 11:54:14.885!utc | INFO | LLMService → provider=azure
2025-05-22 11:54:14.885!utc | INFO | LLMSQLGenerator initialized
2025-05-22 11:54:14.967!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-22 11:54:14.967!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-22 11:54:14.967!utc | INFO | Private key passphrase provided: True
2025-05-22 11:54:14.967!utc | ERROR | Error loading Snowflake private key file: [Errno 2] No such file or directory: '/Users/hghebrechristos/Keys/snowflake.p8'
2025-05-22 11:54:14.968!utc | INFO | Snowflake client initialized with account: tractorsupply.east-us-2.privatelink
2025-05-22 11:54:14.968!utc | INFO | LLMService → provider=azure
2025-05-22 11:54:14.968!utc | INFO | LLMSQLGenerator initialized
2025-05-22 11:54:14.968!utc | INFO | Snowflake credentials status - Account: True, User: True, Password: False, Private key: True
2025-05-22 11:54:14.969!utc | INFO | Attempting to load private key from /Users/hghebrechristos/Keys/snowflake.p8
2025-05-22 11:54:14.969!utc | INFO | Private key passphrase provided: True
